	GL100_DN	GL100_UP	GL102_DN	GL103_DN	GL103_UP	GL104_DN	GL104_UP	GL106_DN	GL106_UP	GL109_DN	GL109_UP	GL11_Down	GL11_UP	GL111_DN	GL114_DN	GL114_UP	GL115_DN	GL115_UP	GL116_DN	GL116_UP	GL117_DN	GL117_UP	GL119_DN	GL119_UP	GL12_Down	GL12_DownB	GL12_Up	GL121_DN	GL121_UP	GL122_DN	GL122_UP	GL124_UP	GL126_DN	GL127_UP	GL13_Down	GL13_DownB	GL13_Up	GL13_UpB	GL130_DN	GL130_UP	GL132_DN	GL132_UP	GL133_DN	GL133_UP	GL135_DN	GL135_UP	GL137_UP	GL139_DN	GL139_UP	GL14_Down	GL14_Up	GL140_1	GL140_2	GL140_3	GL140_4	GL140_5	GL140_6	GL15_Down	GL15_Up	GL16_Down	GL16_UP	GL17_Down	GL17_Up	GL22_DN	GL22_UP	GL24_DN	GL24_UP	GL26_DN	GL26_UP	GL27_DN	GL27_UP	GL28_DN	GL28_UP	GL29_DN	GL29_UP	GL30_DN	GL30_UP	GL32_Down	GL32_UP	GL34_DN	GL34_UP	GL35_DN	GL36_DN	GL36_UP	GL42_DN	GL43_DN	GL44_Down	GL44_UP	GL45_Down	GL45_UP	GL46_Down	GL46_Up	GL47_Down	GL47_Up	GL48_Down	GL48_UP	GL49_Down	GL49_UP	GL5_Up	GL50_Down	GL50_UP	GL51_DN	GL51_Up	GL52_DN	GL53_Down	GL54_DN	GL54_UP	GL56_Up	GL58_Down	GL58_Up	GL6_Down	GL61_DN	GL65_DN	GL65_UP	GL68_DN	GL7_UP	GL72_DN	GL73_DN	GL73_UP	GL74_DN	GL74_UP	GL75_DN	GL75_UP	GL77_DN	GL77_UP	GL79_UP	GL80_DN	GL80_UP	GL81_UP	GL82_DN	GL82_UP	GL85_DN	GL85_UP	GL86_DN	GL86_UP	GL88_DN	GL88_UP	GL90_DN	GL90_UP	GL91_DN	GL91_UP	GL92_DN	GL92_UP	GL93_DN	GL93_UP	GL94_DN	GL94_UP	GL95_DN	GL95_UP	GL96_UP	GL97_DN	GL97_UP	GL98_DN	GL98_UP	GL99_DN	GL99_UP
nosZ	16510	30934	14167	21624	20157	27902	31220	21397	36152	20827	18235	10915	10724	12809	28753	28024	20758	22458	13653	8899	16601	22689	23675	13636	7248	9709	9966	13179	9375	7668	8330	8922	15661	10730	11189	13840	9839	14782	12706	13584	11751	5047	12565	4934	7677	6608	4828	9277	18943	4084	2855	22837	18194	16683	20859	20774	21912	7354	6542	4814	4493	10550	11939	15657	26568	21214	30921	27055	33396	20249	23299	28933	26485	23247	22307	39304	51264	31493	22167	20417	3220	26589	37956	22144	13949	15163	23106	14844	26792	26110	17952	13634	30252	27241	28983	32602	29099	24694	3795	16333	21720	19828	25567	11196	8784	12777	5522	23911	19807	29160	4296	3583	6809	11120	18308	15647	28750	12273	6165	15542	13109	7081	7382	17681	12543	5089	21526	31093	24511	29765	24431	44834	19012	23495	20583	31447	14228	15110	32569	24173	26191	17371	19217	28118	32917	22738	20003	20554	20521	32074	29706	34471	37943	17352	23952	27875
nrfA	2014	15471	2773	4682	4247	6698	7675	3407	6098	13510	11202	1671	1384	8203	12390	12048	2680	1984	5243	3656	9291	10794	4126	2460	2636	3550	3818	3001	3638	5522	8244	8456	9785	5234	2364	2814	1881	2342	7780	11449	8504	11656	10195	11774	6853	7259	9273	4779	7836	810	620	4534	5144	7059	17249	16870	15337	1334	1805	1389	1556	2221	2664	12373	11607	5587	9447	18667	10492	3637	5307	7491	13891	8098	9630	7066	9010	2372	2420	2185	5424	1870	4848	2245	4224	4370	8232	3100	9707	11142	6839	7613	9213	6242	11026	9123	5997	6886	2494	4898	9414	5062	12627	1406	2219	1410	838	4363	2353	3973	794	399	640	1582	2948	2101	7094	5212	5886	6574	10602	1089	487	6671	3392	3711	5287	7301	11043	3116	6970	1283	1561	3226	2929	6611	2719	1404	2232	3845	2003	2228	2154	2995	6915	2616	6038	3227	5133	8597	3022	14556	2795	1689	4112	4034
nrfH	4709	12599	2807	5245	4076	6153	7713	2230	4319	10663	8133	1587	1269	5313	10072	9029	3410	2958	3726	2305	6234	8897	4066	2697	2264	2929	3040	2040	2216	3820	2239	10252	6010	3383	2517	3000	1979	2649	5405	8453	4909	5316	6006	5162	3740	4076	3218	2997	4779	1655	1181	8537	9681	15227	21151	21639	20601	2345	2862	1594	1815	1610	2091	10444	7314	4489	5532	11424	7913	2721	7681	5191	10538	6673	7877	9914	17500	7633	14275	3080	2684	3383	9980	6625	4289	6982	7262	2869	7842	9684	6166	6702	6304	4051	7769	6682	3951	4853	3221	4164	7098	3414	14096	2472	3600	2328	1256	4578	3496	6596	1305	507	913	897	7956	3033	1879	5846	7952	8319	10082	989	475	5407	1679	1391	5496	6986	8591	6487	10899	2612	21647	5161	2754	6275	2846	2024	10086	8898	13034	5452	5336	8157	26782	4375	7228	5292	9148	7691	5057	9616	9699	2503	6367	8740
pccA	269874	344820	353675	292934	282051	306170	385805	355989	340830	305602	224130	279286	287740	299901	333579	254634	192862	318436	395868	393914	217871	293017	218829	195459	186676	238853	232274	212296	265121	414689	369823	497251	190007	145100	281786	325731	217040	291789	131712	234272	297048	365823	279378	355868	285259	281760	327717	179340	213715	118141	92195	287084	288943	254773	231591	231537	232191	173575	179757	223713	263379	263918	272325	227995	259944	237156	274150	240072	343206	220820	424524	348628	246173	418073	373410	418957	449661	244271	410410	322793	502362	343953	316553	273966	505416	448767	250261	398307	318947	285467	405286	391968	387289	440847	539897	445844	503308	406374	119731	482240	513003	448047	288726	417931	257194	551763	406145	410703	394347	415855	142387	156309	388313	352154	562124	272866	380907	278517	157889	354984	331211	397230	422611	268798	316184	569820	355340	418150	377340	557549	659357	460006	417653	438372	197896	303531	344724	395742	359282	439106	456400	264723	284202	383820	494268	566154	439158	405633	595455	182700	342764	272886	476063	460507	369067	340077
pmoA-amoA	10473	38533	11440	28902	29890	22647	34345	6697	8878	11669	11800	15351	11846	7706	15270	17157	43140	12611	16223	6890	9729	26131	45455	26728	14014	17287	15341	19529	7783	753	2242	4323	53232	18435	25426	28105	12987	17562	9669	9124	5391	1535	16489	2272	3781	2151	1056	15896	6237	8264	6722	8425	18240	19740	18036	18714	18079	14335	13146	16582	17436	17399	22017	14536	8331	20747	16636	40984	25481	6825	16376	20152	14161	17058	18740	25683	18230	7845	897	3364	180	2814	17021	11539	11854	10839	47144	1336	40220	24450	8620	6630	22793	17817	18584	17232	7754	9304	22643	7972	14850	22068	12383	8343	23006	4680	2482	21269	40753	58759	18202	43	378	604	5726	26548	2907	23288	8810	15728	5108	4240	1807	28542	5830	567	17755	23444	18080	13035	5356	7575	1228	9041	17932	6441	12967	14627	15987	8790	4593	9742	15010	17647	3603	6035	5719	11984	5803	7807	18328	23962	5699	13854	20657	24098
pmoB-amoB	9751	30844	8342	21423	23973	16892	28645	6178	5950	7633	8074	9814	9033	6010	9709	11264	22941	7414	11922	4876	5778	16242	25463	13706	7556	9947	8972	14936	6585	848	2753	4012	47869	13921	17906	21233	9389	13052	7169	7823	5093	1299	14138	1492	3609	2120	1014	9869	6661	5841	4923	14517	29798	29558	29921	29317	29964	10005	9482	10429	10412	11431	16681	9188	9026	12111	19168	31500	20004	5009	16809	21614	17110	23239	26499	22885	16456	8384	703	2878	240	2685	19700	13666	15570	16216	38405	2545	31754	22677	7945	5910	27325	20022	18364	18845	7788	11756	14681	7167	16467	20460	10709	7876	16922	7262	5426	15553	27832	71219	11520	72	480	660	6444	20768	3185	14692	5643	10768	4689	4340	1542	19992	6316	1196	12966	18295	18135	15212	8333	7005	1173	6810	8981	5849	9341	10683	12230	10620	4356	9306	11057	17081	5093	5406	11471	8127	7934	6768	15615	24701	5448	11136	27098	25888
pmoC-amoC	25568	77905	22502	46054	46425	49972	66426	11259	15521	21621	22672	29682	24449	14752	27903	32183	66994	20056	33914	13011	20122	50423	86633	48619	27381	34210	29632	46473	16923	1344	3064	5202	95285	37181	52311	61350	29537	39609	22009	17526	7042	1540	26174	3161	5117	2173	973	34194	8544	11825	9877	20917	45694	45204	39580	41259	40741	22224	19806	28405	31247	32187	42424	28102	17183	44236	32180	84531	50968	12701	30966	37231	29029	33594	37793	29594	14600	17451	917	6633	351	6355	34337	24507	22828	17888	92951	2486	73483	42925	16911	12133	41082	31445	35984	33102	13388	14391	49166	15497	28286	40123	18069	15835	59426	11832	7698	43877	66371	104743	44535	100	906	1276	12254	46575	6090	44684	14710	28074	8748	7906	3268	65349	10215	1049	32454	36231	34936	24601	12502	14241	538	18824	37222	13442	26366	27984	30615	20000	9906	24530	34457	38237	8725	11591	10404	25710	12518	14861	37944	48709	12591	25775	43374	44974
ppc	117508	104497	165796	132272	138542	125641	130360	163152	151026	105731	76289	125672	124757	97579	112278	85102	122041	161067	153457	111545	85668	111492	115892	137767	65434	83924	80600	86954	97927	203789	177038	237826	72634	46674	111156	127872	99169	132795	49181	119264	153083	193115	111917	175800	154734	150538	186161	61639	97419	74098	56958	200030	166880	134025	79234	78726	83706	92740	99106	94450	107571	104293	101952	74872	89529	77865	84731	81321	123170	91296	170483	137496	84208	154387	135378	140925	144385	82092	154119	121807	321826	126747	101307	88704	204825	194864	100489	160770	108814	89176	158766	168567	145192	163632	172399	145164	190844	148572	66160	201162	169641	165257	117254	205374	154388	217939	166411	152593	147982	176762	51548	62496	212952	192397	212623	121305	171465	123581	75051	131607	169716	138133	192597	87987	136884	208890	143420	144949	131149	217434	212475	157568	120234	157782	75572	127798	164871	172581	152774	182064	169799	113320	118756	174611	179382	197253	196261	155033	234806	81902	122348	85500	195324	181871	146633	122715
prpE	3733	10689	5118	5593	5202	5755	7575	5904	4668	6508	7441	3737	2657	4385	7157	7515	3832	3693	4410	4361	6590	8039	4085	5177	3099	4017	4066	4907	3429	606	1010	606	8736	7224	4698	5115	2927	3856	9408	8329	10260	15326	6094	14137	6356	6536	14663	7045	5458	1079	775	4353	5666	5642	5484	5528	5512	1254	1327	8367	8585	3495	2580	5791	4971	6101	5324	6435	7623	3397	5135	5965	6766	6830	7672	5282	5704	5767	8561	10587	85974	5202	7917	5444	3023	2343	6172	665	7549	10091	3090	2497	5139	4870	6848	5476	3010	2476	6472	3754	6431	4414	4785	3283	2149	2500	2028	4671	7117	4850	3743	1382	18711	13990	7901	12031	3136	3502	3809	4825	8032	4055	22365	5973	5690	2009	7269	6796	5803	4024	2443	2442	3079	8225	7649	6344	5313	3398	13523	3928	3770	4925	6262	4162	9235	4377	15413	7977	10272	4499	14108	8836	2712	2579	9751	15806
rbcL	78049	58526	54508	35813	42629	39965	75102	32774	37606	44028	32116	77861	99819	59821	63989	76462	33104	27173	28401	36352	20050	39717	28463	42293	44605	56340	51464	24446	25640	52208	58352	55525	37920	16813	89735	104029	82161	108271	39755	43588	36450	23823	37645	21874	26613	23567	24792	16078	22874	44010	31239	78234	63481	62378	31541	31126	30413	60493	54269	30082	33639	70166	85807	38578	77094	35668	96984	30320	52348	54506	100322	63186	69381	75402	75248	92699	77339	33589	72333	71668	146406	86621	52284	52207	93472	115282	41108	66686	57516	44344	61821	55729	69231	89704	93177	73199	71054	58432	23270	75651	103910	72145	35903	92420	43646	143283	85294	83037	110337	142797	32898	74534	119982	96251	170791	84356	94959	51604	26028	97778	80500	173328	103508	46393	60707	61435	53679	68612	74186	147072	165205	111627	95154	124748	44898	119203	51308	71541	90756	123497	163282	71945	65120	102381	130156	158566	107147	115321	177078	113300	74649	61020	147275	105603	76890	61921
rbcS	39124	24917	36996	12714	25275	11176	15828	17448	23031	42265	30503	38769	51590	36785	63259	69392	16866	9606	18953	18305	14650	17411	18091	36527	31003	39819	38765	16689	23881	27615	33066	39244	22471	9742	36163	42848	34189	48309	27713	29329	25209	29223	24413	26502	22027	19137	20826	12073	9952	12632	8071	61801	38495	36867	9476	9576	9260	16873	15515	19081	17762	61969	78626	28771	42416	16735	60721	10941	22294	37199	43891	43678	47427	47969	44799	47274	49763	12146	24521	29568	93430	33573	15187	16701	48896	92581	19669	53821	25747	14460	33490	28796	39033	56037	46372	38484	38135	29985	14828	45436	53961	39392	23428	40016	25186	80104	67094	48897	47747	64338	9761	41225	36220	26550	72087	28683	14810	21113	10106	18667	24129	20810	37788	21097	35058	35997	27561	24127	44663	83499	53800	40649	58502	83112	27045	75375	34387	31916	40564	60213	81433	33899	30899	44286	50870	69483	50618	80253	74353	51878	45794	37787	57410	34821	23151	20482
sat, met3	43455	81619	45650	54240	92729	59406	74892	73181	109879	85886	66271	43182	40335	69540	136846	119078	74194	43573	46704	38298	50533	97149	64181	90020	47911	60875	62375	40670	28375	144746	121634	156108	53683	38338	61792	72473	27945	39966	55223	79241	81263	123280	67981	109336	80900	77644	105842	33521	39954	19172	14417	116532	89433	87762	50596	50893	51488	32838	35472	44082	47195	56596	60941	72250	95116	51045	138967	52711	73842	69784	54690	86310	71248	70374	70549	83658	91608	44698	38138	56298	153510	46677	64587	38758	68813	79995	55580	55307	76927	68913	77581	92041	99695	108824	104996	90782	74071	59410	33701	63806	85309	98615	53576	41982	43647	58970	37765	76781	60939	119633	11801	85660	42975	32094	61630	62615	67711	36290	21648	65361	36840	34965	35738	61778	59132	43860	49861	51858	88117	86123	66438	59213	30440	36963	29147	116873	45355	43544	53669	46024	34447	43610	52078	47735	63429	54640	83387	36241	78008	140595	57146	119930	48801	33996	64019	70100
sbm	488359	531511	627645	533480	493923	559003	588139	680697	621496	495657	367634	534581	546339	537754	525038	422272	421644	596080	640209	601915	424455	508616	441384	390585	336698	429805	419736	423263	476940	844492	771289	929201	344573	304122	488691	572617	423274	564004	269492	489388	612044	887391	506519	858783	605790	601504	760206	331083	458980	272259	208221	540239	530384	456762	424601	425202	433317	385964	409920	468315	513144	489013	507231	371291	462493	424426	393605	401070	574289	399067	715736	544969	421800	656658	583233	651087	692569	503109	614533	584519	998595	618507	567379	495438	797341	640240	481476	732139	515932	487998	770560	834194	645889	714461	749604	655691	849805	683104	295688	784002	740419	620801	527514	775380	581745	858212	664151	690821	679432	692178	326337	288029	617520	627968	934279	553347	625315	522082	316534	597836	552423	614717	779249	451997	558492	968619	611904	687514	600862	925404	1055325	705686	694280	711269	373402	496725	616977	702133	659076	802733	774312	487859	530027	688318	895194	926332	777338	682046	981158	294033	592348	456236	819749	798398	627341	563682
smtA1	43685	41495	41029	24261	23326	26560	42344	17626	20217	41457	32484	35447	43858	35363	30044	24345	11302	25787	35513	29276	16517	18777	15513	13479	24538	31301	31540	23765	40396	52260	39811	80016	21829	11800	46863	54288	35337	46291	13783	21474	35163	18392	30291	16056	17034	16216	15642	20161	18480	18188	13791	40279	23491	19689	8319	8462	8910	27620	24786	14321	19181	34508	40404	30018	53105	26877	30388	20927	36047	22845	65775	27287	26565	49720	44038	51639	42773	19370	29107	36365	31494	55596	31475	30050	57715	49747	25352	65079	29416	27370	49477	43753	42360	53742	59773	44762	49401	40400	12397	52928	64053	42187	22862	61532	39190	104672	90634	57141	64918	78967	13864	25794	30782	29463	107410	46642	39694	26284	13422	45538	30800	56099	24187	29602	49121	89380	42810	51245	49802	105060	81395	67208	51426	93400	35796	62795	38660	45700	53585	94683	93858	37468	40175	70752	75151	105701	60451	86761	108810	27167	60360	35785	100579	71514	41158	33034
smtB	44897	41642	41191	24326	23465	26678	42503	17818	20571	41468	32491	36117	44581	36297	30052	24358	11479	26019	35584	29443	16614	18993	15622	13527	25174	32245	32380	23912	40518	56119	42980	89502	21968	11840	47324	54947	35704	46790	13981	22906	35893	19817	31613	17524	18275	17558	17041	20210	19096	18797	14248	39002	22761	19044	8334	8474	8882	27663	24838	14433	19412	34914	40615	30206	54165	27264	30847	20982	36118	23120	66145	27395	26674	51813	45085	51940	43357	19441	28970	36711	31913	56311	32632	30247	57916	50556	25750	69112	29461	27430	51195	46792	43383	54508	60464	45335	49694	41062	13383	53262	64258	42275	23231	62058	40509	104958	92174	57220	66552	81556	13787	25793	30960	29613	109697	46873	44621	26748	13425	47593	32313	56392	23959	30065	50605	99079	43010	51486	50357	105645	81865	67601	52459	95677	36151	63120	38830	46044	53874	97166	95603	38446	41384	72633	76929	107310	60397	88468	111266	27543	63322	36710	104289	71566	42196	33594
soxA	78228	97560	79621	68514	52354	73867	95388	77482	78139	99332	64571	84425	103766	76824	116326	90004	39238	81729	94661	93924	47373	65790	46968	48964	64078	82015	82080	41929	63383	146019	124855	198192	46119	16596	89459	104983	72436	95261	24896	53447	76759	59673	67863	53501	62013	57740	53046	40039	42645	39524	29770	104577	65304	49891	21897	22539	23786	55582	54006	47646	60600	89369	106668	70233	92340	57234	88183	48692	91860	61066	125643	74680	55136	109926	92657	92841	78109	33281	82687	85836	70157	102003	58396	47903	162864	169812	58761	146955	68720	62919	116239	100591	112834	137300	148831	118674	155409	112839	23180	138858	148936	120605	60067	153680	73970	221679	144140	141146	133075	168863	41727	28710	72704	73215	214673	77902	90337	78701	28574	77857	60500	116065	59553	66828	102226	177995	87044	90595	115354	199071	219930	133471	110438	141344	57743	115981	77214	104831	96692	169503	145469	66050	73928	124474	117390	182281	103204	148372	209078	83535	102032	87942	161424	147336	91537	72912
soxB	75713	91578	74044	54911	45218	64528	85159	91703	85379	91984	63266	76205	88109	81475	135419	111359	36352	66291	100296	95200	59454	65945	48662	59324	64030	82234	86744	39827	67075	98905	98379	140571	49154	18109	78192	91861	53539	72593	34358	63615	86963	85407	69218	79622	72978	68390	68484	36082	44520	35806	26714	80171	50697	37621	22075	22119	22515	41048	41241	44127	58245	86437	106323	72958	103382	54220	103500	47109	86544	70428	120026	78029	63582	103360	95026	114527	104018	29615	72905	76829	69732	87520	52714	47392	149691	192506	57352	149159	64866	61484	101625	87484	111433	130908	139347	109507	159676	110717	20835	130224	140916	121009	63860	127732	67789	228174	127347	136955	117554	146291	45170	31914	59458	54782	193108	67664	71229	60283	25228	72717	46688	107339	47435	62835	81997	135293	80807	81934	110447	228021	255352	146757	157299	141085	56410	136629	71798	94207	71512	139769	92890	66527	61184	98861	106372	172760	101624	144838	190170	100937	100438	87527	149787	124235	88300	70629
soxC	46415	79404	52072	52315	47232	65673	81162	61454	71710	87571	58463	46390	48841	64108	98988	78136	32404	51726	60769	63664	31404	53594	31489	30117	39955	50538	49535	27567	42314	69016	63412	98647	41286	17358	45412	53570	32744	44916	24468	38220	51877	37683	50674	34620	41984	41513	39714	28203	35465	13942	10588	45683	37967	31613	23084	23056	24194	22971	22116	31731	40291	47801	50199	54279	84489	45449	67742	44113	75673	45522	95179	56088	40375	80750	72781	74091	77300	31841	80657	56680	152377	65251	47341	39250	113236	130201	51423	87133	59860	61341	79772	64233	90091	109244	127999	97559	108745	85888	19453	103732	127148	94228	44648	87411	48638	120139	71291	95667	82901	93925	25433	12037	54047	52103	156554	52971	58343	45343	14998	44917	46195	60744	60194	46822	58333	87496	65016	66855	79590	149751	210343	89778	71165	88214	41699	75194	50424	62694	69306	104180	82230	40812	45478	79470	87576	119053	93133	94227	155413	51787	71142	69701	102312	95326	64394	56815
soxX	87347	90306	79670	65885	48586	71727	90395	78457	73811	87148	56642	80750	102009	67611	100849	79819	42309	78939	98152	91175	44508	63225	50381	47207	66067	83464	84867	43558	60305	89454	90518	122426	52003	21686	83953	97289	67546	89174	25371	46813	65971	52610	58676	48341	51380	48732	42114	38590	36516	37285	27291	93722	62346	49536	25809	25978	27435	49714	50987	54655	68329	91988	116168	68211	83079	54444	75667	51958	86874	56443	131539	71893	53372	105646	91977	99488	82158	35963	89462	92074	75239	113871	66321	50973	164982	169205	64950	134932	67580	55825	107180	90472	102725	128371	137388	107860	155028	110662	29778	133848	137117	114772	58762	159347	82043	228503	147499	140933	139635	186946	43736	25050	72994	74223	228579	73819	80677	81497	29181	77806	51216	115904	53924	65063	90961	150546	90184	97482	110850	208213	231350	160122	124543	145992	57250	117047	77416	105995	111210	186495	171510	73696	76947	140843	133721	200159	107432	150262	221774	74938	109025	75285	187125	150182	91983	72434
soxY	135166	156194	161069	93086	78315	119744	205015	89242	103531	170718	103517	171338	193176	121830	185189	130546	50479	101009	128198	116767	51442	101825	53830	51881	112657	145983	139322	64019	90782	171106	153196	237236	72982	24855	157704	187902	125679	177877	33197	60777	86026	52358	91052	46631	63875	57640	47713	61568	49963	110046	71884	141470	89790	66672	29101	29119	29688	96255	82465	94727	95592	225126	231657	100546	117589	95365	128792	83226	147829	87151	219611	120490	92884	184148	151274	162495	120416	62170	143081	133403	135812	196191	120590	94464	259185	209863	98827	217527	147398	108245	182263	145838	177942	227409	228941	193817	213681	165829	44070	205189	220685	227685	77294	234096	120064	278009	223375	237112	236697	262591	83536	55197	125097	119384	356680	136005	128619	127635	43216	157762	84687	201823	83090	118612	165533	301131	162655	185844	188150	246959	302217	202473	144618	313536	119139	182818	152290	183925	167175	286935	363745	111887	121049	223480	199077	333563	141390	298572	344489	109745	192269	126834	265014	254771	161108	119844
soxZ	75603	91923	93488	63715	50820	76878	114251	74971	83147	101810	64522	88136	106780	87126	126115	95352	36439	77304	83346	93393	36331	62190	39693	40739	65781	85254	83021	38040	63809	134510	120558	173948	53035	15108	82193	97607	68343	94502	24373	45745	67315	43292	64793	39149	50698	46509	41180	40289	32692	52462	35204	79088	47722	39108	17616	17859	18406	54015	47676	53403	59672	114070	125755	63868	82768	59781	93861	49297	91655	64165	137694	80165	63631	112398	94461	84190	62457	30819	76193	77312	73994	94110	56958	48218	171366	166363	60656	149611	83968	66968	116895	91762	115572	146140	144709	119791	148841	113521	19924	140904	150664	140197	56192	157126	77585	206414	148193	143769	120014	135641	40271	30044	86046	80736	221134	76533	91549	70825	24079	90143	45518	157160	46659	68757	99466	162132	98673	100308	121029	178052	218045	102865	100803	189538	69432	116542	89864	106108	82206	159311	159421	61548	61467	114607	115030	189638	109763	185136	216580	84016	105314	86597	144249	145841	90400	69409
sulfite deh.	75197	92621	90897	74074	61840	90965	135374	90497	88727	98889	66307	85051	105320	75120	140092	106186	42529	86927	107547	124927	59989	71888	45824	53698	57889	72966	72317	47528	85665	88144	95911	125263	64069	18936	90371	104867	74849	99675	26465	65681	98419	86408	74292	77693	81441	78469	79727	45866	43266	30114	21164	86283	59057	40937	18047	18089	19884	44008	54293	47545	62715	81259	94484	65808	98232	59846	76370	55710	98526	57960	155977	75604	45654	117522	101060	98426	86780	36352	72967	96773	86427	103362	74844	62177	192268	286583	64676	143665	92818	77741	113226	86493	124416	151693	150364	121408	180675	124604	28012	155492	164492	138288	65927	158860	84054	209454	146181	162480	139488	166173	33877	21498	101121	107356	244065	93056	124450	123502	39238	141241	102485	188753	83915	70823	84308	150215	95417	106383	119485	240515	228818	100334	99303	213029	66331	125765	85864	109019	85673	158675	132876	66689	71735	121361	110905	209410	108885	198302	236371	61449	131936	73082	151832	140441	117745	93541
ureA	69732	75298	59242	58570	68398	63074	85456	43004	37510	55527	44164	77570	83625	61192	55505	54964	57498	57034	52292	39653	32842	54652	52891	63598	52206	63602	59809	45787	44148	97919	84705	123789	41719	34505	92273	106755	62970	82890	37086	49699	59063	73202	49605	67871	56117	53051	63939	33097	31824	52927	38575	99366	85916	72323	38636	39023	39949	61769	57510	51255	65166	70171	80480	51150	66533	58268	63184	53687	69537	48047	79095	58711	54147	78220	74078	72213	68885	41399	58797	66236	61773	77841	71015	63645	73655	73609	62672	76121	74171	52990	72562	95199	68842	75260	78054	62144	67237	54601	43810	69453	75002	68706	47220	81954	59412	98883	83435	90347	94135	114469	48513	44545	92211	83365	109107	97783	105344	71600	53989	93883	84437	96822	80591	71520	67218	115183	71940	76151	69738	99222	101340	91852	74749	97217	57857	77591	58581	83097	72046	94131	87192	67153	72350	88437	77579	114449	88829	92302	113740	54465	85208	60054	102780	93313	79705	76783
ureB	68165	75967	58194	56322	66687	58831	80018	42885	37810	55376	43736	74454	80796	60034	57707	55545	53557	54550	51269	40868	32603	52694	52265	63400	51049	61975	58278	43809	42801	100339	85488	127110	40906	32618	87199	100510	60645	79954	36769	47742	54667	61779	48319	57479	51074	49248	54129	33162	31575	51056	36956	94131	82969	69144	35230	34942	36138	57674	53776	47144	60341	66524	75980	50957	68093	55383	61960	49123	65253	47725	76057	58873	53460	76497	72049	69508	68936	39580	56010	64576	56526	77206	66172	61568	72687	73215	58041	76801	70730	51611	72555	97279	68332	74659	77699	61898	66090	54560	39347	68438	73719	70718	49364	79490	57091	97230	83114	89775	89978	105796	44560	43039	88530	81645	103300	87853	103973	69416	49083	90858	76687	96850	81230	68053	66213	113566	70664	73862	68562	90929	97490	92752	67959	92387	51632	74963	57454	82874	70134	90717	85256	65860	72645	86152	72429	110454	83587	86432	106092	52394	79008	56746	98660	93330	75562	71225
ureC	95024	107795	79050	81830	96337	87455	118272	61603	60517	70704	54961	111245	115499	74319	70150	68553	79631	74065	68352	56616	44687	71724	83265	88271	70634	88495	80098	66569	56750	124133	105793	158519	66111	50799	129828	150943	83224	111195	51024	62462	64117	72636	64028	68414	59642	57717	62719	48962	38768	68360	50107	134677	129439	104742	63383	63675	64629	77448	69056	65416	82935	96942	108709	69889	84226	79432	82260	80985	98495	61908	104505	79910	71743	106496	98857	100357	95968	63265	83754	89037	79944	111475	106481	100357	103089	94736	90990	98484	108363	76985	100405	122989	99520	106512	112380	90370	95968	78494	52621	96122	106885	101437	65158	104207	80883	123641	106576	122587	135366	157500	64450	53559	132477	113321	143586	124578	130213	85055	63239	122918	107155	119349	114673	98163	91834	161109	98916	106104	93407	123775	150529	128460	87090	115324	71421	96650	78620	115217	105058	125252	119226	93619	101642	124905	99389	153881	108134	111174	145980	66842	107212	77955	130945	128354	107459	101820
ureH	68839	75029	56124	54095	66390	58139	81131	44659	36068	53779	42273	66348	68671	51249	61401	54487	62795	50250	47757	32060	34301	53019	52657	70056	44474	57495	53224	35146	36957	90793	77558	114705	35000	30504	76237	88929	46633	64524	34922	46286	55022	75861	44950	70139	57239	52949	70566	29460	29654	48759	36329	104513	79967	67724	30169	30155	31033	52373	46828	43685	52214	63065	67596	49941	47097	50908	58127	45430	60928	43687	62356	56365	46224	72534	65392	69534	71133	33628	55958	64295	59263	75531	63169	59444	82766	76142	50342	56676	68966	51998	69895	86788	63818	69785	80165	63258	63743	49123	31417	71161	74725	74544	42720	82012	59320	95951	81698	86034	83728	99857	31185	57385	82879	72503	92644	77647	102189	57869	38290	75733	73924	88751	79121	63408	58088	111122	67201	64667	64226	95264	98160	89433	62073	76475	41431	86885	55710	79396	74691	83718	91602	68112	68537	89560	67117	96873	66840	72493	94503	55445	70589	58476	83341	90533	76296	70812
